,scenario 1,scenario 2,scenario 3,scenario 4,scenario 5,scenario 6
baseline,"[22.821829795837402, 23.06476402282715, 22.76723837852478]","[29.879209280014038, 29.79164171218872, 29.75546407699585]","[26.115373373031616, 26.48714804649353, 26.22253108024597]","[19.533437967300415, 19.571677923202515, 19.575512886047363]","[22.027923107147217, 22.53574013710022, 22.209330320358276]","[23.266183137893677, 22.15833282470703, 22.16733431816101]"
foresee,"[20.05728507041931, 20.59601593017578, 14.446578979492188]","[26.250726222991943, 27.127943754196167, 26.794788122177124]","[24.36610698699951, 24.46782636642456, 24.096463680267334]","[15.75987458229065, 17.14751100540161, 17.50361680984497]","[21.333921909332275, 21.24513840675354, 21.887216567993164]","[19.068901538848877, 18.80733633041382, 18.28270721435547]"
baseline_pp,"[26.769754648208618, 26.46376347541809, 26.427160024642944]","[34.26221060752869, 34.57915711402893, 35.04459095001221]","[30.149492502212524, 32.23904585838318, 29.686970472335815]","[24.050072193145752, 23.364112854003906, 24.306084871292114]","[27.03747034072876, 27.268752098083496, 26.997082471847534]","[26.952621459960938, 25.84656596183777, 25.60102605819702]"
foresee_pp,"[26.67858052253723, 26.81754755973816, 28.79594373703003]","[30.363438367843628, 29.72861123085022, 29.188624382019043]","[25.822981595993042, 25.802316188812256, 26.164697647094727]","[23.957826375961304, 24.162687301635742, 23.815820693969727]","[27.541887998580933, 27.004166841506958, 27.756397247314453]","[21.600182056427002, 20.691035985946655, 21.043667554855347]"
