velocities,curvatures,accelerations,long_dt_errors,lat_errors,orient_errors,directory_idcs,trajectory_idcs,signed_orient_errors,signed_lat_errors,mask_lat,mask_orient
0.25,1.0,0.0,0.0329947017253527,0.0104842318337648,0.0406676392112097,0.0,0.0,0.0406676392112097,0.0104842318337648,True,True
0.25,1.0,0.0,0.0038025948411548,0.0106631112585207,0.0419779144893333,0.0,0.0,0.0419779144893333,0.0106631112585207,False,False
0.25,1.0,0.0,0.1756044125785964,0.0118440357080646,0.0471253736092607,0.0,0.0,0.0471253736092607,0.0118440357080646,False,False
0.25,1.0,0.0,-0.0014221227053955,0.012327891397974,0.0475897070906707,0.0,0.0,0.0475897070906707,0.012327891397974,False,False
0.25,1.0,0.0,-0.0003387439416053,0.0125411400876424,0.0451195756857125,0.0,0.0,0.0451195756857125,0.0125411400876424,False,False
0.25,1.0,0.0,-0.0007240238759707,0.0129731759793185,0.0366839830029652,0.0,0.0,0.0366839830029652,0.0129731759793185,False,False
0.25,1.0,0.0,-0.0039831739229395,0.0133503502447306,0.0231295370039172,0.0,0.0,0.0231295370039172,0.0133503502447306,False,False
0.25,1.0,0.0,0.0030502552545806,0.0134504059310497,0.0159202825136959,0.0,0.0,0.0159202825136959,0.0134504059310497,False,False
0.25,1.0,0.0,0.0015874188468515,0.0136058410047419,0.000607535412699,0.0,0.0,0.000607535412699,0.0136058410047419,False,False
0.25,1.0,0.0,-0.0357313634889709,0.0141470340840589,0.0860189889731457,0.0,0.0,0.0860189889731457,0.0141470340840589,False,False
0.25,1.0,0.0,-0.0024385726289683,0.0145130343882997,0.0782502402267284,0.0,0.0,0.0782502402267284,0.0145130343882997,False,False
0.25,1.0,0.0,-0.0013430743767471,0.0152876916711125,0.0596319440733128,0.0,0.0,0.0596319440733128,0.0152876916711125,False,False
0.25,1.0,0.0,0.0032728461316197,0.0159194613204907,0.0390948223300142,0.0,0.0,0.0390948223300142,0.0159194613204907,False,False
0.25,1.0,0.0,0.0079701959468704,0.0161136050112253,0.0310508224683325,0.0,0.0,0.0310508224683325,0.0161136050112253,False,False
0.25,1.0,0.0,0.0116815944701026,0.016437119867171,0.0131595447580967,0.0,0.0,0.0131595447580967,0.016437119867171,False,False
0.25,1.0,0.0,0.0054023963139751,0.0165789918775426,0.0044492437683736,0.0,0.0,0.0044492437683736,0.0165789918775426,False,False
0.25,1.0,0.0,0.0005974353544609,0.0165577087254632,0.0118929501316253,0.0,0.0,0.0118929501316253,0.0165577087254632,False,False
0.25,1.0,0.0,0.0008803743873563,0.0164420366238268,0.0279017381497883,0.0,0.0,0.0279017381497883,0.0164420366238268,False,False
0.25,1.0,0.0,-0.2696293742125252,0.0163572594048953,0.0125746704169276,0.0,0.0,0.0125746704169276,0.0163572594048953,False,False
0.25,1.0,0.0,0.0016375148962825,0.0163022867547608,0.0201674622851766,0.0,0.0,0.0201674622851766,0.0163022867547608,False,False
0.25,1.0,0.0,0.0020023901308918,0.0161018963412221,0.0363573134440153,0.0,0.0,0.0363573134440153,0.0161018963412221,False,False
0.25,1.0,0.0,-0.003291069099164,0.0157306529445464,0.0516654787337085,0.0,0.0,0.0516654787337085,0.0157306529445464,False,False
0.25,1.0,0.0,-0.0009519448239926,0.0154948171986439,0.0585732073240272,0.0,0.0,0.0585732073240272,0.0154948171986439,False,False
0.25,1.0,0.0,-0.0393995276715667,0.0152023957475634,0.0307712561633737,0.0,0.0,0.0307712561633737,0.0152023957475634,False,False
0.25,1.0,0.0,-0.0047680185705055,0.0155365817079567,0.015317546458899,0.0,0.0,0.015317546458899,0.0155365817079567,False,False
0.25,1.0,0.0,-0.0079844543902475,0.015597262890798,0.0094971541136414,0.0,0.0,0.0094971541136414,0.015597262890798,False,False
0.25,1.0,0.0,-0.0074596462785541,0.0156797249679154,0.0058147179283274,0.0,0.0,0.0058147179283274,0.0156797249679154,False,False
0.25,1.0,0.0,-0.0061383776634226,0.0156269232691377,0.0224634402757306,0.0,0.0,0.0224634402757306,0.0156269232691377,False,False
0.25,1.0,0.0,-0.002242226804569,0.0155317747310984,0.0286503335587484,0.0,0.0,0.0286503335587484,0.0155317747310984,False,False
0.25,1.0,0.0,-0.0016789557723048,0.0152445059762346,0.0425549825726303,0.0,0.0,0.0425549825726303,0.0152445059762346,False,False
0.25,1.0,0.0,-0.0052555420917233,0.0148111443874501,0.0557439113223052,0.0,0.0,0.0557439113223052,0.0148111443874501,False,True
0.25,1.0,0.0,0.0005842916568817,0.0145680703681585,0.0615155181294007,0.0,0.0,0.0615155181294007,0.0145680703681585,False,False
0.25,1.0,0.0,0.0030080389671973,0.0139445665439866,0.0739611533455413,0.0,0.0,0.0739611533455413,0.0139445665439866,False,False
0.25,1.0,0.0,0.177708896585226,0.0170076155582199,0.0772880069945332,0.0,0.0,0.0772880069945332,0.0170076155582199,False,False
0.25,1.0,0.0,-0.0011043253511331,0.0166814592725831,0.0825107436631631,0.0,0.0,0.0825107436631631,0.0166814592725831,False,False
0.25,1.0,0.0,-0.0428393177880811,0.0161772968323812,0.0096080639888862,0.0,0.0,0.0096080639888862,0.0161772968323812,False,False
0.25,1.0,0.0,0.0024926741870111,0.0162861139891674,0.0035775613728805,0.0,0.0,0.0035775613728805,0.0162861139891674,False,False
0.25,1.0,0.0,0.0009081520011328,0.0162694227142863,0.0087113637538926,0.0,0.0,0.0087113637538926,0.0162694227142863,False,False
0.25,1.0,0.0,-0.0004245695475558,0.0161748766108193,0.021931774574706,0.0,0.0,0.021931774574706,0.0161748766108193,False,False
