velocities,accelerations,long_errors,lat_errors,orient_errors,long_dt_errors,directory_idcs,trajectory_idcs,signed_orient_errors,signed_lat_errors,mask_lat,mask_orient
0.0044611096382141,0.125,-0.0011755352563467,3.704357960374656e-07,0.0025716457501427,-0.0321610150341791,0.0,0.0,0.0025716457501427,3.704357960374656e-07,True,True
0.0080823600292205,0.125,-0.0021004659264889,7.89433506260791e-07,0.0028473276432521,-0.0319271857187545,0.0,0.0,0.0028473276432521,7.89433506260791e-07,False,False
0.0130724012851715,0.125,-0.0033816803456305,1.1007393736902837e-06,0.0025945779804334,-0.0320942842309598,0.0,0.0,0.0025945779804334,1.1007393736902837e-06,False,False
0.0168630182743072,0.125,-0.0043513049601022,1.1800908227341384e-06,0.0024336049186377,-0.0319744983880833,0.0,0.0,0.0024336049186377,1.1800908227341384e-06,False,False
0.0205695927143096,0.125,-0.0052923191539866,1.5199115961831526e-06,0.002468835047872,-0.0317346315687292,0.0,0.0,0.002468835047872,1.5199115961831526e-06,False,False
0.0294339954853057,0.125,-0.0055078841780984,0.000436269276124,0.003511728255428,-0.0030397567337688,0.0,0.0,0.003511728255428,0.000436269276124,False,False
0.0330720245838165,0.125,-0.0068785236399255,0.0004363674606012,0.003714453731848,-0.0470941622755375,0.0,0.0,0.003714453731848,0.0004363674606012,False,False
0.0368269979953765,0.125,-0.0087487763706013,0.000436441056216,0.0042665859251851,-0.0622591868732678,0.0,0.0,0.0042665859251851,0.000436441056216,False,False
0.0414558351039886,0.125,-0.0110332422687804,0.000436731576933,0.0050147648094753,-0.0616911398202152,0.0,0.0,0.0050147648094753,0.000436731576933,False,False
0.0455546379089355,0.125,-0.0129552085617117,0.0004375461962607,0.0065250252769928,-0.0586136484356981,0.0,0.0,0.0065250252769928,0.0004375461962607,False,False
0.050572395324707,0.125,-0.0152167742226669,0.0004392885256072,0.0089028057389528,-0.0563390543215294,0.0,0.0,0.0089028057389528,0.0004392885256072,False,False
0.0543745458126068,0.125,-0.0168442138011366,0.0004415417650773,0.0094890039928756,-0.053503917837055,0.0,0.0,0.0094890039928756,0.0004415417650773,False,False
0.061739832162857,0.125,-0.0196715817330366,0.0004496043066847,0.0093227439147209,-0.0479846912503936,0.0,0.0,0.0093227439147209,0.0004496043066847,False,False
0.0706197619438171,0.125,-0.0246433047860215,0.0004623832435471,0.0064585725133543,-0.0699853936858403,0.0,0.0,0.0064585725133543,0.0004623832435471,False,False
0.0742952823638916,0.125,-0.0265947013228631,0.0004675522493934,0.0041739953372417,-0.0663646339095188,0.0,0.0,0.0041739953372417,0.0004675522493934,False,False
0.0795269608497619,0.125,-0.0292037498558439,0.0004737334898179,0.0015567598547647,-0.0623377502083534,0.0,0.0,0.0015567598547647,0.0004737334898179,False,False
0.0880738198757171,0.125,-0.0327975036199941,0.0004765602669139,0.0017738806092317,-0.0525595682758515,0.0,0.0,0.0017738806092317,0.0004765602669139,False,False
0.0908646881580352,0.125,-0.0314015807917691,0.0006946745207341,0.0013778343147947,0.0625218877700634,0.0,0.0,0.0013778343147947,0.0006946745207341,False,False
0.1005747616291046,0.125,-0.0362410121118896,0.0006888054220242,0.0015552903821234,-0.0622991079127694,0.0,0.0,0.0015552903821234,0.0006888054220242,False,False
0.108082503080368,0.125,-0.0398851437939553,0.0006848790256035,0.0002040918368333,-0.0606729018593939,0.0,0.0,0.0002040918368333,0.0006848790256035,False,False
0.1130958795547485,0.125,-0.0419816194211284,0.0006843112089762,0.0002725740626559,-0.0522720475383843,0.0,0.0,0.0002725740626559,0.0006843112089762,False,False
0.1207011640071868,0.125,-0.0446215511105974,0.0006841792714247,0.0003727687909655,-0.0433897592190415,0.0,0.0,0.0003727687909655,0.0006841792714247,False,False
0.1256303489208221,0.125,-0.0461884245967105,0.0006837628116792,0.0007307837417389,-0.0397345989642943,0.0,0.0,0.0007307837417389,0.0006837628116792,False,False
0.1331976950168609,0.125,-0.0497175784514283,0.0006803047306742,0.0006292851521871,-0.0582957652842967,0.0,0.0,0.0006292851521871,0.0006803047306742,False,False
0.1380975246429443,0.125,-0.0517791054199072,0.0006775248172776,0.0009371961120052,-0.0525918023124919,0.0,0.0,0.0009371961120052,0.0006775248172776,False,False
0.1456104815006256,0.125,-0.0546025916120438,0.0006736697980094,0.0005330172197552,-0.0469769467205483,0.0,0.0,0.0005330172197552,0.0006736697980094,False,False
0.1506378650665283,0.125,-0.0561268893344006,0.0006721000464916,0.0001180847966706,-0.0378998763068108,0.0,0.0,0.0001180847966706,0.0006721000464916,False,False
0.1580969095230102,0.125,-0.0691176194426104,0.0005864679438551,0.0016509788504706,-0.2177009767135913,0.0,0.0,0.0016509788504706,0.0005864679438551,False,False
0.1631011962890625,0.125,-0.0714407575153739,0.0005954852728532,0.0023420384556285,-0.0580287007262221,0.0,0.0,0.0023420384556285,0.0005954852728532,False,False
0.1706916987895965,0.125,-0.0745927236915733,0.0006139062589362,0.0021170288483371,-0.0519064148911357,0.0,0.0,0.0021170288483371,0.0006139062589362,False,False
0.175569087266922,0.125,-0.0763635036960197,0.0006286049973704,0.0023267822853121,-0.0453823806704812,0.0,0.0,0.0023267822853121,0.0006286049973704,False,True
0.1830896437168121,0.125,-0.0787226397977436,0.000654268724699,0.0037339788343118,-0.0392114619018376,0.0,0.0,0.0037339788343118,0.000654268724699,False,False
0.1880921721458435,0.125,-0.0801958193517062,0.0006739566812538,0.0034491727569827,-0.0368108741125108,0.0,0.0,0.0034491727569827,0.0006739566812538,False,False
