,scenario 1,scenario 2,scenario 4
foresee,"[14.156611919403076, 14.249357223510742, 13.863142490386963]","[26.483283042907715, 26.850539445877075, 27.040064334869385]","[18.851300716400146, 15.759256362915039, 15.958189487457275]"
foresee_abl_delay,"[26.02389621734619, 26.10103750228882, 26.038966178894043]","[28.79856538772583, 28.78016233444214, 28.71979784965515]","[23.36083745956421, 23.65060043334961, 20.383867263793945]"
foresee_abl_fov,"[21.219999313354492, 21.04634690284729, 20.61825728416443]","[28.36388659477234, 28.346749544143677, 28.27564287185669]","[19.360669136047363, 19.62401294708252, 19.36592435836792]"
foresee_abl_lidar,"[22.077531576156616, 21.71196985244751, 21.785181999206543]","[29.003888607025146, 29.017287492752075, 29.101426124572754]","[19.822874546051025, 20.05115270614624, 19.797340154647827]"
foresee_abl_local,"[25.420146703720093, 25.418898344039917, 25.43165898323059]","[28.56868886947632, 28.803945064544678, 28.32192611694336]","[20.09068775177002, 19.737372398376465, 20.08790636062622]"
foresee_abl_traj,"[25.82274103164673, 25.697006702423096, 25.754914045333862]","[28.582420110702515, 28.445369720458984, 33.22266697883606]","[22.44888997077942, 22.410804748535156, 20.3504536151886]"
foresee_pp,"[26.625041007995605, 26.700023889541626, 26.718199253082275]","[29.55799889564514, 34.77781558036804, 33.95351839065552]","[24.047473430633545, 23.666911125183105, 24.040514945983887]"
