slam xy,slam xy covar,slam yaw,slam yaw var,ekf xy,ekf xy covar,ekf yaw,ekf yaw var
"[0.4558678435277033, 0.47447784127553155]","[[0.002109909002686926, -4.0760329525792825e-05], [-4.0760329525792825e-05, 0.002916887425493322]]",1.5530029115512536,0.00042160721631340567,"[0.34875718440701947, 0.4907412446364606]","[[0.035726004430315005, -0.0027100068430144703], [-0.0027100068430144695, 0.03220895299362447]]",1.7293710155368665,0.029758704023722594
"[0.46312984043154376, 1.5943148480889293]","[[0.0027467466648108496, -0.00024990809350335536], [-0.00024990809350335536, 0.002603303876510451]]",1.5454690313401724,0.0003128816977210557,"[0.4334130910854642, 1.5426656097204627]","[[0.04247954906951809, 0.00010897575344555035], [0.00010897575344555045, 0.032407820181289425]]",1.5556976494280068,0.030312998895465466
"[0.4903450076413896, 1.854013980224827]","[[0.0019976661392846567, -3.642392248382315e-05], [-3.642392248382315e-05, 0.0022039098959962056]]",1.5569675362714557,0.00016817072470680624,"[0.48243369560240323, 1.823543907457926]","[[0.03307252563774494, -0.000294898916068454], [-0.00029489891606845447, 0.03222259687707647]]",1.5455574640001322,0.030277865640056675
"[0.3964350100449842, 3.070275737610028]","[[0.005399509347205755, -3.433053937345998e-05], [-3.433053937345998e-05, 0.00225879709583557]]",2.2854722332633313,0.000132845171365268,"[0.3970817384238173, 2.9863643266440922]","[[0.043587051592893326, 0.001381471436594221], [0.0013814714365942206, 0.03127109584883513]]",2.2149338974638946,0.029353114267135272
"[-0.7356805981330569, 2.625224829169102]","[[0.002323128122859609, -0.00010525925008472644], [-0.00010525925008472644, 0.002151561732934208]]",-1.5741728303760414,0.00012125097495594868,"[-0.5916300875551777, 2.637514684621162]","[[0.0400301749235005, -0.0016470050231666437], [-0.0016470050231666433, 0.0316732589122751]]",-1.3125935729443832,0.029539935933351837
"[-0.7782696027408907, 1.6108888636257535]","[[0.001873791089768295, 3.199502387847395e-05], [3.199502387847395e-05, 0.003276436481891789]]",-1.5520329100489911,0.0002294522671877264,"[-0.7515204888009018, 1.6595866355995201]","[[0.039456216169461975, -0.00019090772845709614], [-0.00019090772845709622, 0.03165196776475324]]",-1.5653482582865021,0.02991983354101167
"[-0.7608176283882742, 1.2711065286681038]","[[0.0016782218843436917, 0.00022249396428902313], [0.00022249396428902313, 0.002844524299838188]]",-1.601246738204888,0.00016974235166534017,"[-0.7448299096987224, 1.32765994999493]","[[0.03242559949485864, 0.00021201055053446762], [0.00021201055053446749, 0.03210352013032196]]",-1.5498451135901141,0.02974627572291203
"[-0.5222516190566667, 0.09721365849156563]","[[0.002579089759687342, -0.00026024807173471185], [-0.00026024807173471185, 0.0019755975802234933]]",-0.5096324817647542,0.00023033011857916932,"[-0.534100896506983, 0.16296300918183043]","[[0.04220546822371302, 0.0034969367270762113], [0.003496936727076212, 0.033167973773474684]]",-0.4776995991158257,0.02975615670715933
"[0.12550518354921056, 0.016350135489395026]","[[0.002236879658082002, 7.831024124590152e-05], [7.831024124590152e-05, 0.0020919847411898316]]",-0.04770604359735041,0.00023057561322018514,"[0.12323110960251958, 0.017392772400747027]","[[0.03127280368544027, 4.090801757871183e-05], [4.090801757871188e-05, 0.031318464036849875]]",-0.05127324500453812,0.02959580373864674
"[0.4849018725984652, 0.8163223030848098]","[[0.0023287115286107028, 6.699535994043627e-05], [6.699535994043627e-05, 0.0032765280021944078]]",1.5746722060010292,0.00022944076599349061,"[0.3413897793948635, 0.7837296204844187]","[[0.041038695856226624, -0.0005997786323120463], [-0.0005997786323120483, 0.03167464758021756]]",1.8229248313345474,0.029835469161693343
"[0.5049373020700612, 2.1871136419564814]","[[0.0023318590103053156, -0.00017576219762752645], [-0.00017576219762752645, 0.0027159078510340094]]",1.5793818215166129,0.00012124813894741373,"[0.5053387502492972, 2.1165938444968067]","[[0.03459852873114542, -0.00024292860124601215], [-0.0002429286012460123, 0.03144092752996229]]",1.5801838731287043,0.029313625612590766
