slam xy,slam xy covar,slam yaw,slam yaw var,ekf xy,ekf xy covar,ekf yaw,ekf yaw var
"[1.294135296286969e-07, -0.0001483249247244538]","[[0.001108291502309821, 0.00010138881504730201], [0.00010138881504730201, 0.0011110052543158908]]",0.001744999999999663,0.0001212726531499968,"[-0.3260612002176389, 1.6845521536939956]","[[0.007191553880082848, 7.357934050797617e-05], [7.357934050797613e-05, 0.008176200271473788]]",-1.4999859139396232,0.005033564587532081
"[0.31007635838397085, 0.15346568322939946]","[[0.001376606308555944, 8.3010028640284e-07], [8.3010028640284e-07, 0.0018291777162462099]]",0.9469824934652752,0.0003148569304742202,"[0.27393841772639427, 0.1295680173552474]","[[0.020839883805333637, -0.0005919641124626677], [-0.0005919641124626679, 0.021243006502262914]]",0.9830723534353831,0.019490402844399988
"[0.4496825742694372, 0.9559357527379878]","[[0.0023266266308442107, -0.00031451786780016175], [-0.00031451786780016175, 0.00345788772846493]]",1.4481790015221796,0.00022973321954701517,"[0.41063549232326435, 0.8818042890416922]","[[0.023701559471440245, -0.0001588101659319647], [-0.00015881016593196476, 0.02057831779984928]]",1.4611783973273258,0.019290984520899817
"[0.4681627587699413, 1.6145897419309028]","[[0.0020085647149828065, -0.00018604039867472146], [-0.00018604039867472146, 0.002307840443224399]]",1.5431992705466266,0.00012133214037769326,"[0.4530848129898258, 1.5862191909615362]","[[0.023487087513424328, -0.0002319247056396744], [-0.00023192470563967454, 0.022179644804222447]]",1.540039643501868,0.019540095257315402
"[0.46755058025921686, 1.6895359759017357]","[[0.0018420270005953395, -1.4490567457765906e-06], [-1.4490567457765906e-06, 0.002384541951254093]]",1.4530336595117408,0.00012106974302642098,"[0.4686858533437135, 1.6610866110643492]","[[0.02120865256089391, -0.00015743328744429908], [-0.00015743328744429884, 0.021472220108526507]]",1.5007888257291535,0.01960483780113969
"[0.501465272171201, 2.3348503219751353]","[[0.0024838177776280385, -0.00036545120997090875], [-0.00036545120997090875, 0.002580966785830853]]",1.5598157197255902,0.00016884528925247436,"[0.4829752454052579, 2.2625652554576536]","[[0.023767806288639365, -1.2162312595545926e-05], [-1.2162312595545916e-05, 0.021410890683104044]]",1.5561353049163342,0.019489855633901067
"[0.3716533778745439, 3.1190391323840094]","[[0.0044413326209612174, -0.0003355265616404347], [-0.0003355265616404347, 0.002228157770778296]]",2.387249380135372,0.00022700415500572052,"[0.3810035469290332, 3.069892099415663]","[[0.024636485470272924, 0.00046345310510538247], [0.00046345310510538247, 0.021566832773682574]]",2.3390819409690007,0.019337800414562435
"[-0.2693253005525361, 3.2881629883479957]","[[0.004604998543342967, -0.00033449316437839745], [-0.00033449316437839745, 0.0025982670713827617]]",-3.11455941155584,0.00030830804018977076,"[-0.22987903727871903, 3.2246243292449965]","[[0.0225483193529737, -0.00017490822212829735], [-0.0001749082221282973, 0.022943779245156875]]",-2.9860740801242294,0.01911903763517586
"[-0.4613304648554793, 3.2810785401171327]","[[0.0032582047794803646, 4.112715134634521e-05], [4.112715134634521e-05, 0.0029855512348628157]]",-2.752053995864619,0.00022930428333280156,"[-0.4358795682238973, 3.2699553071497114]","[[0.022883669700999823, -0.0002820456810804606], [-0.00028204568108046137, 0.021560644342349156]]",-2.811368411414549,0.01942521751582316
"[-0.7299309600701168, 2.573864496141315]","[[0.0030616435863946075, -0.0004444063511177856], [-0.0004444063511177856, 0.0026849559833748674]]",-1.59292978196455,0.0004188088061770757,"[-0.6584493194671577, 2.646276191832868]","[[0.02465029875855094, -0.0004388023602347053], [-0.0004388023602347051, 0.02135833749729366]]",-1.507753288487153,0.018955134312715706
"[-0.755532164637905, 1.7878417759111742]","[[0.0021957143454385186, 0.00020261535430141767], [0.00020261535430141767, 0.0036747795853660195]]",-1.5904229647337895,0.00031420305694397513,"[-0.7378041119533015, 1.839533217474164]","[[0.025184238307498417, -0.0003980551124101405], [-0.0003980551124101404, 0.02140408910969771]]",-1.591399173644757,0.019522543461386942
"[-0.7428055302368858, 1.2277440231677381]","[[0.0019126772440065957, -3.176038289693038e-05], [-3.176038289693038e-05, 0.0031062829548434605]]",-1.6042423168206001,0.00023028171294638196,"[-0.7314995011757685, 1.2893412191559768]","[[0.022406831414600318, 0.0002333327809527753], [0.0002333327809527751, 0.022707824201096617]]",-1.5710052375886052,0.019894124383188487
"[-0.7305875199702752, 0.4053226392941455]","[[0.002218585478796968, -0.00018790220717231572], [-0.00018790220717231572, 0.002732007769421088]]",-1.3252770730432841,0.0001337463729711368,"[-0.7126025380070139, 0.45877719006894474]","[[0.024464809968762977, 0.0001448047296710325], [0.00014480472967103248, 0.02175890747816222]]",-1.4031875333418053,0.019341134035472565
"[-0.09971592361730124, 0.0056394411979113325]","[[0.0028121271848642426, 4.45870298791962e-05], [4.45870298791962e-05, 0.0022542991761868234]]",0.08518626647565773,0.0004245581534983734,"[-0.1272692967738728, 0.08121610688495574]","[[0.02155748156509803, 0.0007198000523530166], [0.0007198000523530155, 0.024534057515627497]]",0.16337826075168893,0.01945996130244095
"[0.35216101171995434, 0.07443481502393404]","[[0.002437756415243394, 0.00010858055231850813], [0.00010858055231850813, 0.002810868032624545]]",0.7662161905855625,0.0002308191923729623,"[0.3319953675186942, 0.06804536569671973]","[[0.02106304639521781, -5.263402998630759e-05], [-5.263402998630744e-05, 0.02140728409879573]]",0.7234432889789115,0.019300031339943888
"[0.4909579129738561, 0.8711760688073626]","[[0.002595739059861488, -2.3215362762525013e-05], [-2.3215362762525013e-05, 0.00364015191833783]]",1.5502496264511882,0.00022974125370292783,"[0.4533987359553184, 0.8049950251298802]","[[0.02517986038222779, -3.5359028210450963e-06], [-3.5359028210451658e-06, 0.02176043188671165]]",1.6245377489331094,0.01958508417256223
"[0.503743608784914, 1.6108522269611072]","[[0.0019264087818323798, -0.00010069803534097374], [-0.00010069803534097374, 0.003202816141855077]]",1.5777296948820787,0.000311883474507086,"[0.4825237353656186, 1.5407793394570615]","[[0.02358781800434563, 3.097408494723655e-05], [3.0974084947236527e-05, 0.021830942983960308]]",1.5720733656056076,0.019016394690490858
"[0.5160707402601864, 2.2515407887482386]","[[0.0026578766568645775, -0.000136489861040411], [-0.000136489861040411, 0.003405701082957541]]",1.5765010798148447,0.00016841505678877466,"[0.49376218136188127, 2.185358404347843]","[[0.021372656798919316, -8.850266894196247e-05], [-8.850266894196279e-05, 0.0201019703285127]]",1.6085503117777948,0.01804798975176108
"[0.4578319201028368, 3.030733884545537]","[[0.003789092902822247, -0.00013805312228310014], [-0.00013805312228310014, 0.0024402455472185914]]",2.093396630152405,0.00012117372208542971,"[0.4517771512223545, 2.9766845596062015]","[[0.02371897829350113, 0.0002507927242730737], [0.0002507927242730734, 0.02122234725322539]]",2.024913659660532,0.01850679388455229
"[-0.21415341608851937, 3.2750243237475436]","[[0.0038128667046088112, -0.0005231221313335736], [-0.0005231221313335736, 0.0021096368861801516]]",-3.0896338539448456,0.0003083373062425102,"[-0.1634598193000422, 3.2188576045615673]","[[0.022187411751660644, 0.00023353735878081097], [0.00023353735878081075, 0.02364225448020793]]",-3.054596043269446,0.019088121208168593
