tachometer rpms,encoder velocities
30.3,0.1062655174999482
30.3,0.1069654649761156
30.3,0.1049756384161168
30.8,0.1090082643278668
30.8,0.1069827318693558
48.5,0.1697384193763778
48.5,0.1688589283181272
48.5,0.1674791192085334
48.7,0.1675657039007014
48.7,0.1695575492044044
68.1,0.23684312518825
68.1,0.240762349680384
68.1,0.23488256658762
67.9,0.236896331842116
67.9,0.237502310567042
88.0,0.30895496435201
88.0,0.310300748014542
88.0,0.306234928506546
88.0,0.307112178213304
88.0,0.30472808148145
105.7,0.368735894330994
105.7,0.368714074731904
105.7,0.368059277017488
105.7,0.367391182905304
105.7,0.368652730288036
124.6,0.435354453443926
124.6,0.43359713871036
124.6,0.432518783211942
124.6,0.435315743676862
124.6,0.432609695489662
141.6,0.49986181966943
141.6,0.49641441913952
141.6,0.492885225561424
141.6,0.493905529289954
141.6,0.494648652655034
