stamps,orientations,numbers
1714076247.740389,-1.5130670500740468,0
1714076247.8761947,-1.4595325220018631,0
1714076248.00974,-1.4070821811382896,0
1714076248.1454475,-1.3527017658462477,0
1714076248.7472925,-1.1923887730907123,0
1714076248.7543056,-1.1407876048272856,0
1714076249.1043866,-1.036405282301462,0
1714076249.1063197,-0.986346204610095,0
1714076249.2385364,-0.9340575910253446,0
1714076249.3743608,-0.8821993968341743,0
1714076249.50902,-0.8301269530064332,0
1714076249.644438,-0.7840871580076064,0
1714076249.7794044,-0.7389382829199579,0
1714076249.9143572,-0.6942518531932764,0
1714076250.0487895,-0.6474955017378689,0
1714076250.1848624,-0.6028139721334987,0
1714076250.3200915,-0.5637640277071956,0
1714076250.4553711,-0.5192419180246555,0
1714076250.590048,-0.4745134786505977,0
1714076250.725287,-0.4268197368417104,0
1714076250.8605144,-0.3742049969488219,0
1714076250.994905,-0.3247088851364381,0
1714076251.1304023,-0.27717397520545,0
1714076251.2659762,-0.2270863991875025,0
1714076251.4009552,-0.1758970431410023,0
1714076251.536181,-0.1294116927482909,0
1714076251.6705902,-0.0785590773187929,0
1714076251.805868,-0.0264415034429741,0
1714076251.9408383,0.028919980698415,0
1714076252.0764685,0.0787829158818577,0
1714076252.211652,0.1319739729592637,0
1714076252.3465729,0.1842123749057292,0
1714076252.4935503,0.2340008175677148,0
1714076252.6286082,0.2859431224327507,0
1714076252.7640858,0.34350082393515,0
1714076252.8992305,0.3945168654416955,0
1714076253.0338335,0.4445808586562912,0
1714076253.1689024,0.4924686483842145,0
1714076253.3044314,0.5428610373230782,0
1714076253.4394095,0.5830275454544058,0
1714076253.574487,0.628426596109147,0
1714076253.7097695,0.6727438480320798,0
1714076253.845086,0.7125444074222448,0
1714076253.9796717,0.7515079391567471,0
1714076254.1150377,0.7948129356805101,0
1714076254.2498186,0.8409313473677681,0
1714076254.3848069,0.8886584779639239,0
1714076254.5199082,0.94051611021923,0
1714076254.655247,0.9884365502057336,0
1714076254.7900918,1.03980158398883,0
1714076254.9255483,1.0929893399220525,0
1714076255.0604408,1.1439403551046343,0
1714076255.1959145,1.1918726827111252,0
1714076255.330689,1.2450534284192116,0
1714076255.4660306,1.301783584022928,0
1714076255.6012478,1.3491818881384303,0
1714076255.736852,1.405388369392542,0
1714076255.8713093,1.455204121614896,0
1714076256.0067468,1.5092328253768772,0
1714076256.1411746,1.562731023023587,0
1714076256.2766323,1.6096351577718837,0
1714076256.4249887,1.6611814652208778,0
1714076256.55908,1.7145452464826412,0
1714076256.6938877,1.762223883851656,0
1714076256.8295228,1.8135550361142136,0
1714076256.964263,1.8575585559111476,0
1714076257.09957,1.8997949157724765,0
1714076257.2348857,1.939696898765288,0
1714076257.369248,1.9873543432165208,0
1714076257.5047607,2.033137371491611,0
1714076257.6394854,2.073380457455489,0
1714076257.7747562,2.115797426885996,0
1714076257.9098587,2.1641602244200744,0
1714076258.0453558,2.21153877706843,0
1714076258.1804645,2.2574296705169203,0
1714076258.3159497,2.307088169323061,0
1714076258.450587,2.360740604158583,0
