stamps,angular velocities,orientations,numbers
1714076248.0468209,0.331065684556961,-2.663457330933053,0
1714076248.0958204,0.3546852767467499,-2.6550287268968846,0
1714076248.5666769,0.3369379639625549,-2.6468299412146274,0
1714076248.5860834,0.3248019218444824,-2.638397318057131,0
1714076248.6070905,0.3463335931301117,-2.629176994687992,0
1714076248.6273065,0.3246714174747467,-2.6226311016603274,0
1714076248.6462204,0.3278033137321472,-2.6141406950995654,0
1714076248.6659813,0.3516838848590851,-2.6061264005705698,0
1714076248.685822,0.3545547723770141,-2.5957870539202776,0
1714076249.092549,0.330804705619812,-2.589589307932452,0
1714076249.1060925,0.3002688884735107,-2.582964915010903,0
1714076249.126996,0.2899597883224487,-2.5766120880389654,0
1714076249.147774,0.308881551027298,-2.567405414333653,0
1714076249.1672826,0.337459921836853,-2.559161333859484,0
1714076249.1863558,0.3579476475715637,-2.5508998752689065,0
1714076249.206363,0.3532498180866241,-2.5423039784720345,0
1714076249.227377,0.3259763717651367,-2.5327947114041134,0
1714076249.2460694,0.2830435335636139,-2.5256557920854856,0
1714076249.3261836,0.3661688268184662,-2.497013648279258,0
1714076249.3461454,0.3225835263729095,-2.490093140151389,0
1714076249.3661106,0.3178856968879699,-2.482772969184699,0
1714076249.386094,0.301443338394165,-2.477688817089608,0
1714076249.4061267,0.3026177883148193,-2.470489651139609,0
1714076249.4262035,0.3291082680225372,-2.4620544619762543,0
1714076249.4461186,0.3157977759838104,-2.4566809268659786,0
1714076249.466247,0.328194797039032,-2.450223687267413,0
1714076249.4863386,0.3178856968879699,-2.4435240037301837,0
1714076249.5067227,0.2938746213912964,-2.4376350626336785,0
1714076249.526152,0.2842179834842682,-2.431372277359149,0
1714076249.5462472,0.3323706388473511,-2.4251275256437563,0
1714076249.5663068,0.347769021987915,-2.4171989580275954,0
1714076249.586182,0.3497264683246612,-2.4104037973590917,0
1714076249.6061854,0.2737784087657928,-2.402581719174698,0
1714076249.626223,0.292439192533493,-2.3964339828308265,0
1714076249.6470609,0.2762578129768371,-2.3908215103815724,0
1714076249.6661358,0.3060106635093689,-2.3855447403800083,0
1714076249.6862123,0.3157977759838104,-2.3794173460324277,0
1714076249.7061436,0.3066631257534027,-2.372102812793246,0
1714076249.726102,0.2894378006458282,-2.365481787160784,0
1714076249.746135,0.2475489228963852,-2.360025310374263,0
1714076249.7661636,0.2369788289070129,-2.3545705804519783,0
1714076249.7861114,0.3121439218521118,-2.34735650927287,0
1714076249.8061569,0.2895682752132416,-2.341836107209518,0
1714076249.826224,0.2796506881713867,-2.3355057916824795,0
1714076249.8460178,0.2562920749187469,-2.3297447113564163,0
1714076249.8661306,0.261772871017456,-2.3239209754356653,0
1714076249.8863344,0.2855229377746582,-2.3176449283969265,0
1714076249.9062114,0.2996163964271545,-2.3111946852802063,0
1714076249.926251,0.2702550292015075,-2.306116016207352,0
1714076249.9459898,0.2384142726659774,-2.3005006119884954,0
1714076249.96621,0.2637302875518799,-2.294627667463017,0
1714076249.9864008,0.3322401344776153,-2.2878017353201883,0
1714076250.0062046,0.3113609552383423,-2.2814960294940763,0
1714076250.0263343,0.2827825546264648,-2.2756496012251657,0
1714076250.0466058,0.238544762134552,-2.2692139540315788,0
1714076250.066188,0.237892284989357,-2.263649215932797,0
1714076250.0863566,0.331065684556961,-2.257781642903669,0
1714076250.1062558,0.3190601468086242,-2.2516665248597243,0
1714076250.1262765,0.266862154006958,-2.245177096907612,0
1714076250.1460545,0.222102403640747,-2.24047783820801,0
1714076250.1660516,0.2094443887472152,-2.236062203373148,0
1714076250.186947,0.2835655212402344,-2.2307351500827868,0
1714076250.2066967,0.3304132223129272,-2.224600047630877,0
1714076250.2259612,0.2915257215499878,-2.218238316736153,0
1714076250.246549,0.2347604185342788,-2.212705699675186,0
1714076250.2660654,0.1730363070964813,-2.209413593164639,0
1714076250.2861166,0.2654267251491546,-2.204744114901354,0
1714076250.3061275,0.3224530220031738,-2.1992189112575677,0
1714076250.3259833,0.3024872839450836,-2.1941173357057986,0
1714076250.3461137,0.222754880785942,-2.189889623078699,0
1714076250.3662226,0.2085309326648712,-2.186579682973013,0
1714076250.386479,0.2840875089168548,-2.1810887642370678,0
1714076250.4060838,0.299094408750534,-2.176142796705532,0
1714076250.4265976,0.3189296424388885,-2.1702486116832684,0
1714076250.4463754,0.2857839465141296,-2.1657241651360843,0
1714076250.466216,0.2479404062032699,-2.1596637251060087,0
1714076250.4860592,0.2504197955131531,-2.1548070109694946,0
1714076250.5062823,0.2912647128105163,-2.149657039915541,0
1714076250.526343,0.3472470641136169,-2.143472729067045,0
1714076250.546229,0.3244104385375976,-2.1370389001574104,0
1714076250.566181,0.3050971925258636,-2.1298676367570013,0
1714076250.5860803,0.2355433851480484,-2.125480161104537,0
1714076250.605915,0.2676451504230499,-2.119630188251243,0
1714076250.626138,0.3518143892288208,-2.1131853478123865,0
1714076250.6460547,0.3557292222976684,-2.10771793058134,0
1714076250.6662722,0.3092730343341827,-2.1015944803483277,0
1714076250.68627,0.279520183801651,-2.096553784844039,0
1714076250.7060678,0.2628168165683746,-2.091868734880717,0
1714076250.7262273,0.2947880923748016,-2.086074047250717,0
1714076250.746506,0.3485520184040069,-2.0793509433218937,0
1714076250.766477,0.3185381591320038,-2.0738856608988447,0
1714076250.7862089,0.3090120255947113,-2.0670116517143344,0
1714076250.806298,0.310447484254837,-2.061592949633986,0
1714076250.8263352,0.2853924632072449,-2.0565228483799256,0
1714076250.846321,0.2989639341831207,-2.051217602031354,0
1714076250.866221,0.3300217092037201,-2.045163280134493,0
1714076250.8866704,0.3150148093700409,-2.039252289775596,0
1714076250.9063375,0.2972674965858459,-2.034608481104796,0
1714076250.9262264,0.3323706388473511,-2.028960794988933,0
1714076250.9463875,0.3403308391571045,-2.0227539473302274,0
1714076250.966318,0.3218005299568176,-2.016793871481991,0
1714076250.986237,0.2848704755306244,-2.0115580935831563,0
1714076251.006065,0.2765187919139862,-2.007347700115455,0
1714076251.026056,0.3339365720748901,-2.001525389939624,0
1714076251.0461235,0.3395478427410126,-1.994722783613936,0
1714076251.0661232,0.3409833014011383,-1.9882441602462724,0
1714076251.0860713,0.3114914298057556,-1.982802811186769,0
1714076251.106205,0.2955710589885711,-1.9778637750172825,0
1714076251.1260636,0.3075765967369079,-1.972464704050239,0
1714076251.1464314,0.3321096301078796,-1.966266672864672,0
1714076251.166082,0.3349805176258087,-1.9611092184643568,0
1714076251.186206,0.3311961889266968,-1.955116977796384,0
1714076251.2063286,0.3187991678714752,-1.948806131325438,0
1714076251.2262645,0.296223521232605,-1.9430680643532443,0
1714076251.246139,0.2817385792732239,-1.9383380080214971,0
1714076251.266305,0.3100560009479522,-1.932757786032724,0
1714076251.2860386,0.3298912346363067,-1.927249001023704,0
1714076251.306677,0.3139708340167999,-1.922469959980938,0
1714076251.3260074,0.3114914298057556,-1.9168474975452403,0
1714076251.3463,0.292439192533493,-1.911587180229568,0
1714076251.3661954,0.2735174000263214,-1.9070103154022575,0
1714076251.386281,0.2936136424541473,-1.901468367721216,0
